split,class,image_count,pct_of_split,pct_of_total_dataset
Train,A,408,4.978645515558267,3.970030164444877
Train,C,806,9.835265405735203,7.842755667996497
Train,D,2498,30.482001220256254,24.306704291135546
Train,G,1286,15.692495424039048,12.513379390872823
Train,H,329,4.014643075045759,3.201323343388148
Train,M,471,5.747406955460646,4.583049528072395
Train,N,2397,29.249542403904822,23.323927216113653
Validation,A,51,4.937076476282671,0.49625377055560965
Validation,C,100,9.68054211035818,0.9730466089325679
Validation,D,312,30.20329138431752,3.035905419869612
Validation,G,162,15.682478218780252,1.57633550647076
Validation,H,41,3.969022265246854,0.3989491096623528
Validation,M,68,6.582768635043562,0.6616716940741462
Validation,N,299,28.944820909970957,2.909409360708378
Test,A,52,4.957102001906578,0.5059842366449353
Test,C,102,9.723546234509056,0.9925075411112193
Test,D,314,29.933269780743565,3.0553663520482632
Test,G,165,15.72926596758818,1.6055269047387368
Test,H,42,4.003813155386082,0.4086795757516785
Test,M,73,6.959008579599618,0.7103240245207746
Test,N,301,28.69399428026692,2.928870292887029
