split,class,image_count,pct_of_split
Test,A,52,4.9476688867745
Test,C,102,9.705042816365367
Test,D,314,29.87630827783064
Test,G,165,15.699333967649856
Test,H,42,3.9961941008563278
Test,M,75,7.1360608943863
Test,N,301,28.639391056137015
Train,A,408,4.887983706720977
Train,C,806,9.656163891218402
Train,D,2500,29.950880555888343
Train,G,1316,15.766143524619626
Train,H,329,3.9415358811549064
Train,M,591,7.080388163412005
Train,N,2397,28.716904276985744
Validation,A,51,4.903846153846154
Validation,C,100,9.615384615384617
Validation,D,312,30.0
Validation,G,164,15.769230769230768
Validation,H,41,3.942307692307692
Validation,M,73,7.019230769230769
Validation,N,299,28.749999999999996
