removed_filepath,filename,original_split,original_class,canonical_split,canonical_class,md5,canonical_destination,removal_reason
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma78.jpg,Glaucoma78.jpg,train,G,Train,D,0429772825c775bf1fa4cf946387dc31,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR1447.jpg,Intra-split duplicate copy (raw class: G vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma77.jpg,Glaucoma77.jpg,train,G,Train,D,bc4a0e034ade6feffdbecc8dd9c21423,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR1448.jpg,Intra-split duplicate copy (raw class: G vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma315.jpg,Glaucoma315.jpg,train,G,Train,D,15dd380cde6249e4c0c3a5b6cdd171d4,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR168.jpg,Intra-split duplicate copy (raw class: G vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\DR571.jpg,DR571.jpg,train,D,Validation,M,85df20bc27413b092e1e4ac69177d22f,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\M\Myopia244.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: D vs allocated: Validation/M)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia326.jpg,Myopia326.jpg,train,M,Train,D,9e748c2ca69e31f001904e5c54d63e58,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR675.jpg,Intra-split duplicate copy (raw class: M vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia325.jpg,Myopia325.jpg,train,M,Train,D,23868abf83c314d8e810ce4f40c25333,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR676.jpg,Intra-split duplicate copy (raw class: M vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia333.jpg,Myopia333.jpg,train,M,Train,D,49bb79e6c68d1a249dfdfb64dbeefcf2,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR698.jpg,Intra-split duplicate copy (raw class: M vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia334.jpg,Myopia334.jpg,train,M,Train,D,09d896e53056321dae2d3c26ca764d96,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR699.jpg,Intra-split duplicate copy (raw class: M vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma802.jpg,Glaucoma802.jpg,train,G,Train,D,017a3a3649d417bbb187be00fef01034,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR790.jpg,Intra-split duplicate copy (raw class: G vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\Glaucoma810.jpg,Glaucoma810.jpg,train,G,Train,D,d4964cb733a5d9ff1a00a4a78a56c145,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\D\DR807.jpg,Intra-split duplicate copy (raw class: G vs allocated class: D)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\DR992.jpg,DR992.jpg,train,D,Validation,G,6e9fe8283d41d0f0cba8290cfe85a9da,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Validation\G\Glaucoma984.jpg,"Cross-split duplicate leakage copy (raw split: train, raw class: D vs allocated: Validation/G)"
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\M\Myopia8.jpg,Myopia8.jpg,train,M,Train,G,83136fb1fa30cd3881f6eaa2c1c8c738,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\eye\Train\G\Glaucoma1010.jpg,Intra-split duplicate copy (raw class: M vs allocated class: G)
