split,original_folder,consolidated_class,image_count,pct_of_split
Test,CANCER,CANCER,49,28.823529411764703
Test,CANCER 1,CANCER,49,28.823529411764703
Test,NON CANCER,NON CANCER,46,27.058823529411764
Test,NON CANCER 2,NON CANCER,26,15.294117647058824
Train,CANCER,CANCER,383,29.037149355572407
Train,CANCER 1,CANCER,383,29.037149355572407
Train,NON CANCER,NON CANCER,356,26.990144048521607
Train,NON CANCER 2,NON CANCER,197,14.935557240333585
Validation,CANCER,CANCER,47,29.01234567901235
Validation,CANCER 1,CANCER,47,29.01234567901235
Validation,NON CANCER,NON CANCER,44,27.160493827160494
Validation,NON CANCER 2,NON CANCER,24,14.814814814814813
