removed_filepath,filename,original_split,original_folder,target_class,md5,canonical_destination,removal_reason
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\001.jpeg,001.jpeg,train,CANCER,CANCER,c720301019feb599f5cb6814b0047331,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Test\CANCER\oral_002.jpeg,Cross-split leakage copy (original split: train vs allocated: Test)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\003.jpeg,003.jpeg,train,CANCER 1,CANCER,7e70e2838bede63d52126dc19ef708c5,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_002.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\004.jpeg,004.jpeg,train,CANCER 1,CANCER,baac62f53085c53ab46aefb4dbbf71f3,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_003.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\005.jpeg,005.jpeg,train,CANCER 1,CANCER,a1cffd774c78f4437f7df4ab4ba2265d,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_004.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\005.jpeg,005.jpeg,train,CANCER,CANCER,81ef65654a658afca3117541ca940a4b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_006.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\007.jpeg,007.jpeg,train,CANCER 1,CANCER,93c8c5eb572ec3b8bf2136e90a49ec4b,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_006.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\007.jpeg,007.jpeg,train,CANCER,CANCER,2ee2f8ecce46365ccba91cdfe4344931,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Validation\CANCER\oral_008.jpeg,Cross-split leakage copy (original split: train vs allocated: Validation)
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\009.jpeg,009.jpeg,train,CANCER 1,CANCER,7dbdb49c0f74005fea7e338bd3b555d7,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_008.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\010.jpeg,010.jpeg,train,CANCER 1,CANCER,f1fd104db9252f7a208db73c45d89400,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_009.jpeg,Intra-split duplicate copy in folder CANCER 1
E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\011.jpeg,011.jpeg,train,CANCER 1,CANCER,dc9013b973d7a22c46e98a4cd5702c36,E:\Mega project\MedvisionAi-\ML-Model\cleaned_data\oral\Train\CANCER\oral_010.jpeg,Intra-split duplicate copy in folder CANCER 1
