split,class,image_count,pct_of_split,pct_of_total_dataset
Train,Acne,2030,11.171647130042375,8.935252431885205
Train,Actinic Keratosis,577,3.175389356667217,2.539724459703332
Train,Basal Cell Carcinoma,1965,10.813934290903088,8.649148289977552
Train,Dermatofibroma,273,1.502393924385009,1.2016373960121485
Train,Melanocytic Nevus (Nevus),7010,38.577953882560124,30.855231304194724
Train,Melanoma,3837,21.116064058114578,16.888947576918
Train,Seborrheic Keratosis,1977,10.879973584282649,8.701967516175888
Train,Squamous Cell Carcinoma,502,2.7626437730449616,2.2096042959637305
Validation,Acne,253,11.155202821869487,1.1136053523482548
Validation,Actinic Keratosis,72,3.1746031746031744,0.3169153571900172
Validation,Basal Cell Carcinoma,245,10.802469135802468,1.0783925348826973
Validation,Dermatofibroma,34,1.4991181657848323,0.14965447422861922
Validation,Melanocytic Nevus (Nevus),876,38.62433862433862,3.855803512478542
Validation,Melanoma,479,21.119929453262788,2.108367445750253
Validation,Seborrheic Keratosis,247,10.890652557319223,1.0871957392490865
Validation,Squamous Cell Carcinoma,62,2.7336860670194003,0.2728993353580703
Test,Acne,255,11.18421052631579,1.122408556714644
Test,Actinic Keratosis,73,3.2017543859649127,0.32131695937321186
Test,Basal Cell Carcinoma,247,10.833333333333334,1.0871957392490865
Test,Dermatofibroma,35,1.5350877192982455,0.1540560764118139
Test,Melanocytic Nevus (Nevus),877,38.46491228070175,3.860205114661737
Test,Melanoma,481,21.096491228070175,2.1171706501166425
Test,Seborrheic Keratosis,248,10.87719298245614,1.0915973414322813
Test,Squamous Cell Carcinoma,64,2.807017543859649,0.2817025397244597
