true_class,predicted_class,error_count,pct_of_true_class,pct_of_total_errors
D,N,81,25.796178343949045,24.17910447761194
N,D,52,17.275747508305646,15.522388059701491
A,D,39,75.0,11.641791044776118
M,D,27,36.0,8.059701492537313
G,D,24,14.545454545454545,7.164179104477612
G,N,23,13.939393939393941,6.865671641791045
M,G,20,26.666666666666668,5.970149253731343
C,N,15,14.705882352941178,4.477611940298507
H,N,14,33.33333333333333,4.179104477611941
H,D,8,19.047619047619047,2.3880597014925375
A,N,7,13.461538461538462,2.0895522388059704
N,G,6,1.9933554817275747,1.791044776119403
G,M,5,3.0303030303030303,1.4925373134328357
M,N,4,5.333333333333334,1.1940298507462688
C,D,3,2.941176470588235,0.8955223880597015
C,G,2,1.9607843137254901,0.5970149253731344
D,G,2,0.6369426751592357,0.5970149253731344
N,M,2,0.6644518272425249,0.5970149253731344
D,C,1,0.3184713375796179,0.2985074626865672
