dataset,split,class,filename,filepath,width,height,mode,aspect_ratio,pixel_std,issues
eye,train,D,1071_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\1071_right.jpg,3116,3116,RGB,1.0,45.16,Very large resolution (3116x3116)
eye,train,D,1094_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\1094_left.jpg,3133,3129,RGB,1.0,48.02,Very large resolution (3133x3129)
eye,train,D,3981_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\3981_right.jpg,3137,2304,RGB,1.36,41.96,Very large resolution (3137x2304)
eye,train,D,4113_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4113_left.jpg,3128,3133,RGB,1.0,46.22,Very large resolution (3128x3133)
eye,train,D,4113_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4113_right.jpg,3138,3138,RGB,1.0,49.67,Very large resolution (3138x3138)
eye,train,D,4144_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4144_left.jpg,3138,3138,RGB,1.0,46.49,Very large resolution (3138x3138)
eye,train,D,4144_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4144_right.jpg,3122,3122,RGB,1.0,50.09,Very large resolution (3122x3122)
eye,train,D,4226_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4226_left.jpg,3128,3138,RGB,1.0,49.2,Very large resolution (3128x3138)
eye,train,D,4226_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4226_right.jpg,3124,3135,RGB,1.0,49.67,Very large resolution (3124x3135)
eye,train,D,4248_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4248_left.jpg,3129,3138,RGB,1.0,44.65,Very large resolution (3129x3138)
eye,train,D,4399_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4399_left.jpg,3113,3118,RGB,1.0,45.62,Very large resolution (3113x3118)
eye,train,D,4399_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4399_right.jpg,3120,3132,RGB,1.0,52.1,Very large resolution (3120x3132)
eye,train,D,4610_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4610_left.jpg,3113,3115,RGB,1.0,45.85,Very large resolution (3113x3115)
eye,train,D,4610_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\4610_right.jpg,3134,3134,RGB,1.0,58.51,Very large resolution (3134x3134)
eye,train,D,87_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\D\87_right.jpg,3117,3113,RGB,1.0,47.24,Very large resolution (3117x3113)
eye,train,G,1239_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\1239_right.jpg,3266,3266,RGB,1.0,34.09,Very large resolution (3266x3266)
eye,train,G,1269_left.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\1269_left.jpg,3266,3266,RGB,1.0,50.3,Very large resolution (3266x3266)
eye,train,G,1269_right.jpg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Eye disease\G\1269_right.jpg,3266,3266,RGB,1.0,56.52,Very large resolution (3266x3266)
