true_class,predicted_class,error_count,pct_of_true_class,pct_of_total_errors
CANCER,CANCER 1,24,48.97959183673469,27.586206896551722
NON CANCER 2,NON CANCER,19,73.07692307692307,21.839080459770116
CANCER 1,CANCER,16,32.6530612244898,18.39080459770115
CANCER,NON CANCER,8,16.3265306122449,9.195402298850574
CANCER 1,NON CANCER,8,16.3265306122449,9.195402298850574
NON CANCER,CANCER 1,5,10.869565217391305,5.747126436781609
NON CANCER 2,CANCER,3,11.538461538461538,3.4482758620689653
CANCER 1,NON CANCER 2,1,2.0408163265306123,1.1494252873563218
NON CANCER,CANCER,1,2.1739130434782608,1.1494252873563218
NON CANCER,NON CANCER 2,1,2.1739130434782608,1.1494252873563218
NON CANCER 2,CANCER 1,1,3.8461538461538463,1.1494252873563218
