dataset,split,class,filename,filepath,width,height,mode,aspect_ratio,pixel_std,issues
oral,train,CANCER,032.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\032.jpeg,3024,4032,RGB,0.75,45.64,Very large resolution (3024x4032)
oral,train,CANCER,033.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\033.jpeg,3198,2166,RGB,1.48,53.29,Very large resolution (3198x2166)
oral,train,CANCER,035.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\035.jpeg,458,522,RGBA,0.88,51.09,Non-RGB mode (RGBA)
oral,train,CANCER,036.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\036.jpeg,500,333,P,1.5,35.76,Non-RGB mode (P)
oral,train,CANCER,037.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\037.jpeg,850,887,RGBA,0.96,47.45,Non-RGB mode (RGBA)
oral,train,CANCER,051.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\051.jpeg,375,287,RGBA,1.31,40.32,Non-RGB mode (RGBA)
oral,train,CANCER,086.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\086.jpeg,404,302,P,1.34,40.18,Non-RGB mode (P)
oral,train,CANCER,087.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\087.jpeg,1020,673,RGBA,1.52,23.98,Non-RGB mode (RGBA)
oral,train,CANCER,092.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\092.jpeg,704,526,RGBA,1.34,51.72,Non-RGB mode (RGBA)
oral,train,CANCER,094.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\094.jpeg,570,518,RGBA,1.1,41.55,Non-RGB mode (RGBA)
oral,train,CANCER,098.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\098.jpeg,208,309,RGBA,0.67,47.83,Non-RGB mode (RGBA)
oral,train,CANCER,311.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\311.jpeg,206,96,RGB,2.15,63.45,Small resolution (206x96)
oral,train,CANCER,346.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\346.jpeg,3926,3163,RGB,1.24,47.62,Very large resolution (3926x3163)
oral,train,CANCER,351.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\351.jpeg,456,342,RGBA,1.33,51.85,Non-RGB mode (RGBA)
oral,train,CANCER,362.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\362.jpeg,619,410,P,1.51,31.38,Non-RGB mode (P)
oral,train,CANCER,363.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\363.jpeg,9248,6936,RGB,1.33,59.32,Very large resolution (9248x6936)
oral,train,CANCER,412.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\412.jpeg,4272,2848,RGB,1.5,32.74,Very large resolution (4272x2848)
oral,train,CANCER,471.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\471.jpeg,2888,2183,P,1.32,34.92,Non-RGB mode (P)
oral,train,CANCER,476.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\476.jpeg,3024,2569,RGB,1.18,52.01,Very large resolution (3024x2569)
oral,train,CANCER,495.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\495.jpeg,532,399,RGBA,1.33,73.28,Non-RGB mode (RGBA)
oral,train,CANCER,497.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\497.jpeg,533,400,RGBA,1.33,67.33,Non-RGB mode (RGBA)
oral,train,CANCER,499.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\499.jpeg,682,553,RGBA,1.23,36.52,Non-RGB mode (RGBA)
oral,train,CANCER,500.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER\500.jpeg,532,399,RGBA,1.33,57.79,Non-RGB mode (RGBA)
oral,train,CANCER 1,040.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\040.jpeg,3024,4032,RGB,0.75,45.64,Very large resolution (3024x4032)
oral,train,CANCER 1,045.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\045.jpeg,500,333,P,1.5,35.76,Non-RGB mode (P)
oral,train,CANCER 1,064.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\064.jpeg,375,279,RGBA,1.34,57.52,Non-RGB mode (RGBA)
oral,train,CANCER 1,104.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\104.jpeg,208,309,P,0.67,29.56,Non-RGB mode (P)
oral,train,CANCER 1,105.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\105.jpeg,404,302,P,1.34,40.18,Non-RGB mode (P)
oral,train,CANCER 1,106.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\106.jpeg,1020,673,RGBA,1.52,23.98,Non-RGB mode (RGBA)
oral,train,CANCER 1,108.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\108.jpeg,1122,739,RGBA,1.52,41.71,Non-RGB mode (RGBA)
oral,train,CANCER 1,112.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\112.jpeg,570,518,RGBA,1.1,41.55,Non-RGB mode (RGBA)
oral,train,CANCER 1,114.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\114.jpeg,552,505,RGBA,1.09,53.36,Non-RGB mode (RGBA)
oral,train,CANCER 1,117.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\117.jpeg,208,309,RGBA,0.67,47.83,Non-RGB mode (RGBA)
oral,train,CANCER 1,190.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\190.jpeg,93,97,RGB,0.96,54.55,Small resolution (93x97)
oral,train,CANCER 1,351.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\351.jpeg,3154,2810,RGB,1.12,33.98,Very large resolution (3154x2810)
oral,train,CANCER 1,354.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\354.jpeg,206,96,RGB,2.15,63.45,Small resolution (206x96)
oral,train,CANCER 1,395.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\395.jpeg,3926,3163,RGB,1.24,47.62,Very large resolution (3926x3163)
oral,train,CANCER 1,421.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\421.jpeg,619,410,P,1.51,31.38,Non-RGB mode (P)
oral,train,CANCER 1,422.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\422.jpeg,9248,6936,RGB,1.33,59.32,Very large resolution (9248x6936)
oral,train,CANCER 1,426.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\426.jpeg,3456,3456,RGB,1.0,56.38,Very large resolution (3456x3456)
oral,train,CANCER 1,472.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\CANCER 1\472.jpeg,4288,2848,RGB,1.51,23.29,Very large resolution (4288x2848)
oral,train,NON CANCER,001.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\001.jpeg,144,126,RGBA,1.14,39.75,Non-RGB mode (RGBA)
oral,train,NON CANCER,003.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\003.jpeg,154,186,RGBA,0.83,57.2,Non-RGB mode (RGBA)
oral,train,NON CANCER,006.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\006.jpeg,126,119,RGBA,1.06,45.68,Non-RGB mode (RGBA)
oral,train,NON CANCER,007.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\007.jpeg,205,193,RGBA,1.06,64.96,Non-RGB mode (RGBA)
oral,train,NON CANCER,008.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\008.jpeg,140,147,RGBA,0.95,36.2,Non-RGB mode (RGBA)
oral,train,NON CANCER,009.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\009.jpeg,185,188,RGBA,0.98,46.42,Non-RGB mode (RGBA)
oral,train,NON CANCER,010.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\010.jpeg,127,155,RGBA,0.82,53.17,Non-RGB mode (RGBA)
oral,train,NON CANCER,011.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\011.jpeg,214,177,RGBA,1.21,34.95,Non-RGB mode (RGBA)
oral,train,NON CANCER,012.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\012.jpeg,189,215,RGBA,0.88,37.81,Non-RGB mode (RGBA)
oral,train,NON CANCER,013.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\013.jpeg,165,179,RGBA,0.92,61.12,Non-RGB mode (RGBA)
oral,train,NON CANCER,014.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\014.jpeg,147,193,RGBA,0.76,48.29,Non-RGB mode (RGBA)
oral,train,NON CANCER,015.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\015.jpeg,129,124,RGBA,1.04,45.59,Non-RGB mode (RGBA)
oral,train,NON CANCER,016.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\016.jpeg,162,152,RGBA,1.07,29.33,Non-RGB mode (RGBA)
oral,train,NON CANCER,017.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\017.jpeg,157,206,RGBA,0.76,54.18,Non-RGB mode (RGBA)
oral,train,NON CANCER,018.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\018.jpeg,145,172,RGBA,0.84,57.93,Non-RGB mode (RGBA)
oral,train,NON CANCER,019.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Train\Oral Cancer\NON CANCER\019.jpeg,120,125,RGBA,0.96,40.09,Non-RGB mode (RGBA)
