filename,filepath,true_class,predicted_class,confidence,dataset,model,is_high_confidence,is_low_confidence
070.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\070.jpeg,CANCER,NON CANCER,0.4882836639881134,oral,efficientnetb0_best_tuned.keras,False,True
077.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\077.jpeg,CANCER,CANCER 1,0.3174983859062195,oral,efficientnetb0_best_tuned.keras,False,True
083.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\083.jpeg,CANCER,CANCER 1,0.3945096731185913,oral,efficientnetb0_best_tuned.keras,False,True
093.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\093.jpeg,CANCER,CANCER 1,0.33761826157569885,oral,efficientnetb0_best_tuned.keras,False,True
101.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\101.jpeg,CANCER,NON CANCER,0.40572258830070496,oral,efficientnetb0_best_tuned.keras,False,True
110.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\110.jpeg,CANCER,CANCER 1,0.3958393335342407,oral,efficientnetb0_best_tuned.keras,False,True
112.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\112.jpeg,CANCER,CANCER 1,0.5126710534095764,oral,efficientnetb0_best_tuned.keras,False,False
114.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\114.jpeg,CANCER,CANCER 1,0.7249443531036377,oral,efficientnetb0_best_tuned.keras,False,False
116.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\116.jpeg,CANCER,CANCER 1,0.7497745156288147,oral,efficientnetb0_best_tuned.keras,False,False
121.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\121.jpeg,CANCER,CANCER 1,0.517363429069519,oral,efficientnetb0_best_tuned.keras,False,False
135.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\135.jpeg,CANCER,CANCER 1,0.4523444175720215,oral,efficientnetb0_best_tuned.keras,False,True
137.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\137.jpeg,CANCER,CANCER 1,0.5071162581443787,oral,efficientnetb0_best_tuned.keras,False,False
147.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\147.jpeg,CANCER,CANCER 1,0.6183689832687378,oral,efficientnetb0_best_tuned.keras,False,False
152.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\152.jpeg,CANCER,CANCER 1,0.5907348394393921,oral,efficientnetb0_best_tuned.keras,False,False
157.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\157.jpeg,CANCER,CANCER 1,0.7569183111190796,oral,efficientnetb0_best_tuned.keras,True,False
168.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\168.jpeg,CANCER,CANCER 1,0.5978797674179077,oral,efficientnetb0_best_tuned.keras,False,False
175.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\175.jpeg,CANCER,CANCER 1,0.5114428400993347,oral,efficientnetb0_best_tuned.keras,False,False
181.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\181.jpeg,CANCER,CANCER 1,0.3981402516365051,oral,efficientnetb0_best_tuned.keras,False,True
187.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\187.jpeg,CANCER,CANCER 1,0.4008012115955353,oral,efficientnetb0_best_tuned.keras,False,True
246.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\246.jpeg,CANCER,CANCER 1,0.582925021648407,oral,efficientnetb0_best_tuned.keras,False,False
249.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\249.jpeg,CANCER,CANCER 1,0.5956579446792603,oral,efficientnetb0_best_tuned.keras,False,False
255.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\255.jpeg,CANCER,CANCER 1,0.6361401081085205,oral,efficientnetb0_best_tuned.keras,False,False
278.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\278.jpeg,CANCER,NON CANCER,0.31475526094436646,oral,efficientnetb0_best_tuned.keras,False,True
288.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\288.jpeg,CANCER,NON CANCER,0.32872453331947327,oral,efficientnetb0_best_tuned.keras,False,True
302.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\302.jpeg,CANCER,NON CANCER,0.5823864936828613,oral,efficientnetb0_best_tuned.keras,False,False
341.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\341.jpeg,CANCER,NON CANCER,0.4040990471839905,oral,efficientnetb0_best_tuned.keras,False,True
357.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\357.jpeg,CANCER,NON CANCER,0.4347912669181824,oral,efficientnetb0_best_tuned.keras,False,True
388.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\388.jpeg,CANCER,NON CANCER,0.40828797221183777,oral,efficientnetb0_best_tuned.keras,False,True
408.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\408.jpeg,CANCER,CANCER 1,0.406002014875412,oral,efficientnetb0_best_tuned.keras,False,True
429.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\429.jpeg,CANCER,CANCER 1,0.5956084728240967,oral,efficientnetb0_best_tuned.keras,False,False
493.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\493.jpeg,CANCER,CANCER 1,0.5059558749198914,oral,efficientnetb0_best_tuned.keras,False,False
496.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER\496.jpeg,CANCER,CANCER 1,0.4453814923763275,oral,efficientnetb0_best_tuned.keras,False,True
002.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\002.jpeg,CANCER 1,NON CANCER,0.35929542779922485,oral,efficientnetb0_best_tuned.keras,False,True
038.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\038.jpeg,CANCER 1,CANCER,0.5866026282310486,oral,efficientnetb0_best_tuned.keras,False,False
053.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\053.jpeg,CANCER 1,CANCER,0.3189585208892822,oral,efficientnetb0_best_tuned.keras,False,True
083.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\083.jpeg,CANCER 1,NON CANCER,0.43398213386535645,oral,efficientnetb0_best_tuned.keras,False,True
084.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\084.jpeg,CANCER 1,NON CANCER 2,0.45710134506225586,oral,efficientnetb0_best_tuned.keras,False,True
113.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\113.jpeg,CANCER 1,CANCER,0.5318865776062012,oral,efficientnetb0_best_tuned.keras,False,False
122.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\122.jpeg,CANCER 1,CANCER,0.5845351219177246,oral,efficientnetb0_best_tuned.keras,False,False
141.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\141.jpeg,CANCER 1,CANCER,0.512731671333313,oral,efficientnetb0_best_tuned.keras,False,False
152.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\152.jpeg,CANCER 1,CANCER,0.6110537052154541,oral,efficientnetb0_best_tuned.keras,False,False
162.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\162.jpeg,CANCER 1,CANCER,0.38864943385124207,oral,efficientnetb0_best_tuned.keras,False,True
182.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\182.jpeg,CANCER 1,CANCER,0.5356601476669312,oral,efficientnetb0_best_tuned.keras,False,False
229.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\229.jpeg,CANCER 1,CANCER,0.49131742119789124,oral,efficientnetb0_best_tuned.keras,False,True
249.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\249.jpeg,CANCER 1,CANCER,0.46696510910987854,oral,efficientnetb0_best_tuned.keras,False,True
250.jpeg,E:\Mega project\MedvisionAi-\ML-Model\data\Test\Oral Cancer\CANCER 1\250.jpeg,CANCER 1,CANCER,0.5192263722419739,oral,efficientnetb0_best_tuned.keras,False,False
