dataset,split,class,filename,filepath,width,height,mode,aspect_ratio,pixel_std,issues
skin,train,Actinic Keratosis,PAT_1013_82_876.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1013_82_876.png,300,300,RGBA,1.0,21.62,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1014_86_861.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1014_86_861.png,300,300,RGBA,1.0,20.42,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1019_110_194.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1019_110_194.png,300,300,RGBA,1.0,26.15,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1020_111_593.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1020_111_593.png,300,300,RGBA,1.0,18.35,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1021_112_40.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1021_112_40.png,300,300,RGBA,1.0,21.06,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1022_115_132.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1022_115_132.png,300,300,RGBA,1.0,28.31,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1026_124_206.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1026_124_206.png,300,300,RGBA,1.0,30.64,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1027_128_854.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1027_128_854.png,300,300,RGBA,1.0,19.5,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1029_135_239.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1029_135_239.png,300,300,RGBA,1.0,30.02,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1029_135_983.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1029_135_983.png,300,300,RGBA,1.0,13.92,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1034_160_819.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1034_160_819.png,300,300,RGBA,1.0,25.54,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1051_220_356.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1051_220_356.png,300,300,RGBA,1.0,20.46,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1063_270_593.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1063_270_593.png,300,300,RGBA,1.0,12.47,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1065_275_136.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1065_275_136.png,300,300,RGBA,1.0,41.91,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1065_276_231.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1065_276_231.png,300,300,RGBA,1.0,29.27,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1066_281_698.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1066_281_698.png,300,300,RGBA,1.0,43.29,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1067_284_533.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1067_284_533.png,300,300,RGBA,1.0,17.8,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1070_305_907.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1070_305_907.png,300,300,RGBA,1.0,21.57,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1071_314_500.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1071_314_500.png,300,300,RGBA,1.0,18.85,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1092_378_922.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1092_378_922.png,300,300,RGBA,1.0,31.59,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1093_379_273.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1093_379_273.png,300,300,RGBA,1.0,39.8,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1102_408_613.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1102_408_613.png,300,300,RGBA,1.0,23.96,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1112_455_845.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1112_455_845.png,300,300,RGBA,1.0,12.16,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1139_523_682.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1139_523_682.png,300,300,RGBA,1.0,22.63,Non-RGB mode (RGBA)
skin,train,Actinic Keratosis,PAT_1209_737_590.png,E:\Mega project\MedvisionAi-\ML-Model\data\Train\FYP skin disease Dataset\Actinic Keratosis\PAT_1209_737_590.png,300,300,RGBA,1.0,19.09,Non-RGB mode (RGBA)
