Class                         Precision    Recall  F1-score   Support
A                               1.0000    0.1154    0.2069        52
C                               0.9880    0.8039    0.8865       102
D                               0.6005    0.7325    0.6600       314
G                               0.7902    0.6848    0.7338       165
H                               1.0000    0.4762    0.6452        42
M                               0.7742    0.3200    0.4528        75
N                               0.6260    0.8007    0.7026       301
macro avg                       0.8256    0.5619    0.6125      1051
weighted avg                    0.7233    0.6813    0.6680      1051

Accuracy: 0.6813
