Class                         Precision    Recall  F1-score   Support
A                               0.6667    0.1154    0.1967        52
C                               0.5682    0.9804    0.7194       102
D                               0.8879    0.3025    0.4513       314
G                               0.6139    0.5879    0.6006       165
H                               0.0000    0.0000    0.0000        42
M                               0.7222    0.1733    0.2796        75
N                               0.4768    0.9236    0.6290       301
macro avg                       0.5622    0.4404    0.4109      1051
weighted avg                    0.6379    0.5604    0.5088      1051

Accuracy: 0.5604
