Class                         Precision    Recall  F1-score   Support
Acne                            0.9939    0.6431    0.7810       255
Actinic Keratosis               0.8571    0.0822    0.1500        73
Basal Cell Carcinoma            0.5857    0.3320    0.4238       247
Dermatofibroma                  0.2449    0.3429    0.2857        35
Melanocytic Nevus (Nevus)       0.6438    0.7936    0.7109       877
Melanoma                        0.4237    0.1559    0.2280       481
Seborrheic Keratosis            0.2979    0.7581    0.4278       248
Squamous Cell Carcinoma         0.5000    0.2344    0.3191        64
macro avg                       0.5684    0.4178    0.4158      2280
weighted avg                    0.5893    0.5430    0.5195      2280

Accuracy: 0.5430
