dataset,model,sample_id,image_filename,true_class,predicted_class,confidence,confidence_percent,gradcam_layer,case_type,original_path,heatmap_path,overlay_path,images_verified
skin,EfficientNetB0 (Baseline),skin_sample_01_melanoma_correct,ISIC_7340247.jpg,Melanoma,Melanoma,0.9548656940460205,95.49%,top_conv,Correct (High Confidence Lesion),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_01_melanoma_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_01_melanoma_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_01_melanoma_correct_overlay.png,True
skin,EfficientNetB0 (Baseline),skin_sample_02_acne_correct,levle3_126_jpg.rf.f8a83210ecae1ee13f571a90a20e0b40.jpg,Acne,Acne,0.9997819066047668,99.98%,top_conv,Correct (High Confidence Inflammatory),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_02_acne_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_02_acne_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_02_acne_correct_overlay.png,True
skin,EfficientNetB0 (Baseline),skin_sample_03_bcc_correct,BCN_0000014498.jpg,Basal Cell Carcinoma,Basal Cell Carcinoma,0.9829612374305725,98.30%,top_conv,Correct (Epithelial Carcinoma),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_03_bcc_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_03_bcc_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_03_bcc_correct_overlay.png,True
skin,EfficientNetB0 (Baseline),skin_sample_04_melanoma_misclassified,ISIC_0000290.jpg,Melanoma,Basal Cell Carcinoma,0.9206375479698181,92.06%,top_conv,Misclassified (Melanoma -> BCC),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_04_melanoma_misclassified_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_04_melanoma_misclassified_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\skin\skin_sample_04_melanoma_misclassified_overlay.png,True
eye,EfficientNetB0 (Baseline),eye_sample_01_cataract_correct,_253_1359558.jpg,C (Cataract),C,0.9868884682655334,98.69%,top_conv,Correct (High Confidence Cataract),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_01_cataract_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_01_cataract_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_01_cataract_correct_overlay.png,True
eye,EfficientNetB0 (Baseline),eye_sample_02_dr_correct,DR1203.jpg,D (Diabetic Retinopathy),D,0.9909522533416748,99.10%,top_conv,Correct (Diabetic Retinopathy),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_02_dr_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_02_dr_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_02_dr_correct_overlay.png,True
eye,EfficientNetB0 (Baseline),eye_sample_03_normal_correct,658_left.jpg,N (Normal),N,0.8823624849319458,88.24%,top_conv,Correct (Normal Fundus),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_03_normal_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_03_normal_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_03_normal_correct_overlay.png,True
eye,EfficientNetB0 (Baseline),eye_sample_04_myopia_misclassified,Myopia164.jpg,M (Myopia),G,0.9089766144752502,90.90%,top_conv,Misclassified (Myopia -> Glaucoma),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_04_myopia_misclassified_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_04_myopia_misclassified_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\eye\eye_sample_04_myopia_misclassified_overlay.png,True
oral,EfficientNetB0 (Tuned),oral_sample_01_noncancer_correct,382.jpeg,NON CANCER,NON CANCER,0.8263484835624695,82.63%,top_conv,Correct (High Confidence Non-Cancer),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_01_noncancer_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_01_noncancer_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_01_noncancer_correct_overlay.png,True
oral,EfficientNetB0 (Tuned),oral_sample_02_cancer1_correct,215.jpeg,CANCER 1,CANCER 1,0.7325330376625061,73.25%,top_conv,Correct (Cancer Subtype 1),E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_02_cancer1_correct_original.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_02_cancer1_correct_heatmap.png,E:\Mega project\MedvisionAi-\ML-Model\outputs\explainability\oral\oral_sample_02_cancer1_correct_overlay.png,True
