dataset,format,model_file,status,size_mb,compression_ratio,inference_time_ms,accuracy,macro_f1,weighted_f1,prediction_agreement,input_shape,output_shape,error
skin,Keras FP32,skin_model.keras,SUCCESS,16.392744064331055,1.0,283.8176733333512,0.7631578947368421,0.6851002649564445,0.7566959055563696,1.0,"[None, 224, 224, 3]","[None, 8]",
skin,TFLite FP32,model_fp32.tflite,SUCCESS,15.35867691040039,1.0673278798664245,13.179076666635106,0.7631578947368421,0.6851002649564445,0.7566959055563696,1.0,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(8)]",
skin,TFLite FP16,model_fp16.tflite,SUCCESS,7.777576446533203,2.1076930811317194,12.356143333302802,0.7635964912280702,0.6856067242724104,0.7571794818168348,0.9991228070175439,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(8)]",
skin,TFLite INT8,model_int8.tflite,SUCCESS,4.717498779296875,3.4748804040547796,7.781133333385999,0.6679824561403509,0.5369644443615207,0.65237869023138,0.7776315789473685,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(8)]",
skin,ONNX,model.onnx,SUCCESS,15.384757041931152,1.0655185531791391,5.520766666692604,0.7631578947368421,0.6851002649564445,0.7566959055563696,1.0,"['unk__1288', 224, 224, 3]","['unk__1289', 8]",
eye,Keras FP32,eye_model.keras,SUCCESS,16.378084182739258,1.0,240.4097066667267,0.681255946717412,0.6125337090399474,0.6679652665104879,1.0,"[None, 224, 224, 3]","[None, 7]",
eye,TFLite FP32,model_fp32.tflite,SUCCESS,15.353790283203125,1.0667127712859736,12.512670000038876,0.681255946717412,0.6125337090399474,0.6679652665104879,1.0,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(7)]",
eye,TFLite FP16,model_fp16.tflite,SUCCESS,7.775135040283203,2.10646941794373,13.43466000001475,0.681255946717412,0.6125451677115423,0.6679765430964663,0.9990485252140818,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(7)]",
eye,TFLite INT8,model_int8.tflite,SUCCESS,4.71624755859375,3.4726939116874376,7.481126666743876,0.5965746907706946,0.45519461453169835,0.571262194807214,0.7392959086584205,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(7)]",
eye,ONNX,model.onnx,SUCCESS,15.38009262084961,1.0648885274290707,5.246489999960128,0.681255946717412,0.6125337090399474,0.6679652665104879,1.0,"['unk__2577', 224, 224, 3]","['unk__2578', 7]",
oral,Keras FP32,efficientnetb0_best_tuned.keras,SUCCESS,16.334102630615234,1.0,243.40397666668045,0.48823529411764705,0.42622916044545117,0.45376060320048606,1.0,"[None, 224, 224, 3]","[None, 4]",
oral,TFLite FP32,model_fp32.tflite,SUCCESS,15.339130401611328,1.0648649697181913,13.475299999981871,0.48823529411764705,0.42622916044545117,0.45376060320048606,1.0,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(4)]",
oral,TFLite FP16,model_fp16.tflite,SUCCESS,7.767803192138672,2.1027956330235043,13.88153999999607,0.48823529411764705,0.42622916044545117,0.45376060320048606,1.0,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(4)]",
oral,TFLite INT8,model_int8.tflite,SUCCESS,4.7125091552734375,3.466115840292191,7.4861066667078076,0.4411764705882353,0.36271867275604813,0.3981209765124234,0.8176470588235294,"[np.int32(1), np.int32(224), np.int32(224), np.int32(3)]","[np.int32(1), np.int32(4)]",
oral,ONNX,model.onnx,SUCCESS,15.365432739257812,1.0630421484246602,7.2588666666585295,0.48823529411764705,0.42622916044545117,0.45376060320048606,1.0,"['unk__3864', 224, 224, 3]","['unk__3865', 4]",
